DATE,Retail_Sales
1/1/1992,1744
1/2/1992,1990
1/3/1992,2177
1/4/1992,2601
1/5/1992,2171
1/6/1992,2207
1/7/1992,2251
1/8/1992,2087
1/9/1992,2016
1/10/1992,2149
1/11/1992,1667
1/12/1992,1583
1/1/1993,2022
1/2/1993,2199
1/3/1993,2526
1/4/1993,2564
1/5/1993,2309
1/6/1993,2393
1/7/1993,2485
1/8/1993,2287
1/9/1993,2167
1/10/1993,2339
1/11/1993,2253
1/12/1993,2060
1/1/1994,2199
1/2/1994,2432
1/3/1994,2669
1/4/1994,2782
1/5/1994,2638
1/6/1994,2769
1/7/1994,2774
1/8/1994,3119
1/9/1994,2887
1/10/1994,3136
1/11/1994,2564
1/12/1994,2470
1/1/1995,2709
1/2/1995,2833
1/3/1995,3296
1/4/1995,2998
1/5/1995,3180
1/6/1995,3303
1/7/1995,3492
1/8/1995,3445
1/9/1995,3223
1/10/1995,3074
1/11/1995,2931
1/12/1995,2558
1/1/1996,2871
1/2/1996,3451
1/3/1996,4046
1/4/1996,3879
1/5/1996,3727
1/6/1996,3538
1/7/1996,3571
1/8/1996,3511
1/9/1996,3221
1/10/1996,3526
1/11/1996,3262
1/12/1996,3006
1/1/1997,3377
1/2/1997,3834
1/3/1997,4089
1/4/1997,4115
1/5/1997,4022
1/6/1997,4088
1/7/1997,4066
1/8/1997,3864
1/9/1997,3741
1/10/1997,3822
1/11/1997,3294
1/12/1997,3374
1/1/1998,3681
1/2/1998,4154
1/3/1998,4523
1/4/1998,4400
1/5/1998,4356
1/6/1998,4723
1/7/1998,4535
1/8/1998,4476
1/9/1998,4138
1/10/1998,4535
1/11/1998,3730
1/12/1998,3691
1/1/1999,4115
1/2/1999,4597
1/3/1999,4921
1/4/1999,4824
1/5/1999,4950
1/6/1999,5047
1/7/1999,4895
1/8/1999,4892
1/9/1999,4509
1/10/1999,4516
1/11/1999,4292
1/12/1999,4095
1/1/2000,4381
1/2/2000,5327
1/3/2000,5434
1/4/2000,4841
1/5/2000,4986
1/6/2000,5161
1/7/2000,4989
1/8/2000,5089
1/9/2000,4860
1/10/2000,4574
1/11/2000,4089
1/12/2000,3928
1/1/2001,4648
1/2/2001,4917
1/3/2001,5359
1/4/2001,4991
1/5/2001,5390
1/6/2001,5169
1/7/2001,4906
1/8/2001,5142
1/9/2001,4291
1/10/2001,4903
1/11/2001,4444
1/12/2001,4103
1/1/2002,4802
1/2/2002,5226
1/3/2002,5212
1/4/2002,5260
1/5/2002,5342
1/6/2002,5199
1/7/2002,5229
1/8/2002,5542
1/9/2002,4855
1/10/2002,5143
1/11/2002,4736
1/12/2002,4377
1/1/2003,5209
1/2/2003,5477
1/3/2003,5877
1/4/2003,5572
1/5/2003,5586
1/6/2003,5324
1/7/2003,5466
1/8/2003,5494
1/9/2003,5072
1/10/2003,5014
1/11/2003,4528
1/12/2003,4436
1/1/2004,5053
1/2/2004,5538
1/3/2004,6055
1/4/2004,5564
1/5/2004,5882
1/6/2004,5548
1/7/2004,5773
1/8/2004,5948
1/9/2004,5546
1/10/2004,5785
1/11/2004,5481
1/12/2004,5348
1/1/2005,5803
1/2/2005,6480
1/3/2005,6602
1/4/2005,6036
1/5/2005,5955
1/6/2005,6018
1/7/2005,6080
1/8/2005,6419
1/9/2005,5684
1/10/2005,5597
1/11/2005,5325
1/12/2005,5125
1/1/2006,5811
1/2/2006,6245
1/3/2006,7009
1/4/2006,6470
1/5/2006,6638
1/6/2006,6522
1/7/2006,6371
1/8/2006,6653
1/9/2006,6204
1/10/2006,6146
1/11/2006,5634
1/12/2006,5473
1/1/2007,6089
1/2/2007,6625
1/3/2007,7276
1/4/2007,6734
1/5/2007,7186
1/6/2007,6850
1/7/2007,6781
1/8/2007,7310
1/9/2007,6591
1/10/2007,6583
1/11/2007,5957
1/12/2007,5714
1/1/2008,6544
1/2/2008,7182
1/3/2008,7291
1/4/2008,6940
1/5/2008,6683
1/6/2008,6653
1/7/2008,6286
1/8/2008,6226
1/9/2008,5662
1/10/2008,5432
1/11/2008,4452
1/12/2008,4561
1/1/2009,5544
1/2/2009,6088
1/3/2009,6017
1/4/2009,5652
1/5/2009,5442
1/6/2009,5654
1/7/2009,5477
1/8/2009,5748
